ID;Õ‡Á‚‡ÌËÂ ;Ã‡Ú¸;»ÌÙÓÏ‡ˆËÓÌÌ‡ˇ ·ÂÁ‡Ô‡ÒÌÓÒÚ¸;œŒ;»ÌÙ‡ÒÚÛÍÚÛ‡ Ë Ó·ÓÛ‰Ó‚‡ÌËÂ;œÓÏ˚¯ÎÂÌÌ‡ˇ ‡‚ÚÓÏ‡ÚËÁ‡ˆËˇ
4;√œ4;1;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
4;√œ4;1;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
4;√œ4;1;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
5;√œ5;3;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
5;√œ5;3;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
5;√œ5;3;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
5;√œ5;3;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
5;√œ5;3;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
5;√œ5;3;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
5;√œ5;3;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
5;√œ5;3;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
5;√œ5;3;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
5;√œ5;3;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
6;√œ6;3;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
6;√œ6;3;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
6;√œ6;3;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
6;√œ6;3;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
6;√œ6;3;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
6;√œ6;3;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
6;√œ6;3;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
6;√œ6;3;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
6;√œ6;3;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
6;√œ6;3;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
7;√œ7;3;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
7;√œ7;3;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
7;√œ7;3;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
7;√œ7;3;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
7;√œ7;3;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
7;√œ7;3;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
7;√œ7;3;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
7;√œ7;3;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
7;√œ7;3;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
7;√œ7;3;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
8;√œ8;7;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
8;√œ8;7;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
8;√œ8;7;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
8;√œ8;7;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
8;√œ8;7;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
8;√œ8;7;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
8;√œ8;7;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
8;√œ8;7;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
8;√œ8;7;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
8;√œ8;7;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
9;√œ9;7;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
9;√œ9;7;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
9;√œ9;7;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
9;√œ9;7;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
9;√œ9;7;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
9;√œ9;7;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
9;√œ9;7;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
9;√œ9;7;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
9;√œ9;7;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
9;√œ9;7;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
10;√œ9;7;iproject1 30 1;oproject1 90 1;iproject1 50 1;oproject1 10 2
10;√œ9;7;oprogect2 20 1;iproject2 33 1;oproject2 19 1;iproject2 25 2
10;√œ9;7;iproject3 100 1;iproject3 20 1;iproject3 20 3;oproject3 11 2
10;√œ9;7;oproject4 12 1;oproject4 26 2;iproject4 13 3;oproject4 18 1
10;√œ9;7;iproject5 30 1;oproject5 15 2;iproject5 18 2;iproject5 41 2
10;√œ9;7;iproject6 17 1;iproject6 11 2;iproject6 28 2;iproject6 18 3
10;√œ9;7;iproject7 27 2;oproject7 15 3;oproject7 2 1;oproject7 20 1
10;√œ9;7;oproject8 9 2;oproject8 1 3;oproject8 5 1;oproject8 32 2
10;√œ9;7;iproject9 25 2;oproject9 3 3;iproject9 10 3;iproject9 42 3
10;√œ9;7;oproject10 18 3;iproject10 21 2;iproject10 50 2;iproject10 11 2
